brand,model,processor_brand,processor_model,processor_generation,processor_cores,processor_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,gpu_brand,gpu_model,gpu_memory_gb,ram_gb,ram_type,ram_speed_mhz,storage_type,storage_capacity_gb,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,touchscreen,operating_system,battery_capacity_wh,weight_kg,release_year,warranty_years,webcam_resolution,wifi_version,bluetooth_version,keyboard_backlit,fingerprint_sensor,price_rupees
Huawei,MateBook D15 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,UHD Graphics,0,16,DDR5,4800,SSD,1024,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,88,1.73,2023,1,720p,Wi-Fi 7,5.4,Yes,No,76990
LG,Gram 17 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,UHD Graphics,0,64,DDR5,5600,NVMe SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Pro,55,2.54,2024,1,720p,Wi-Fi 6E,5.3,Yes,No,157990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 5060,8,16,DDR4,3200,NVMe SSD,2048,13.6,2560x1664,60,IPS,No,Windows 11 Home,71,1.62,2022,1,1080p,Wi-Fi 5,5.0,Yes,Yes,145990
Samsung,Galaxy Book4 360,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,16,DDR5,4800,NVMe SSD,512,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,75,1.97,2025,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,117990
Lenovo,ThinkPad E15 Gen 4,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,UHD Graphics,0,32,LPDDR5X,6400,NVMe SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Home,98,2.48,2025,2,1080p,Wi-Fi 7,5.4,Yes,No,165990
Apple,MacBook Pro M3 14,Apple,M2,2,8,8,3.49,3.49,Apple,Apple M2 8-core,0,16,LPDDR5,6400,SSD,512,13.6,2560x1664,60,IPS,No,macOS Sonoma,59,1.07,2024,2,720p,Wi-Fi 6E,5.3,Yes,Yes,107262
Lenovo,IdeaPad Slim 5 16IRL8,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5060,8,16,DDR5,5200,NVMe SSD,1024,13.6,2560x1664,60,IPS,No,Windows 11 Home,52,1.43,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,138990
Gigabyte,Aorus 15 BSF,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5060,8,8,DDR4,3200,NVMe SSD,1024,15.6,2560x1440,165,IPS,No,Windows 11 Home,67,1.8,2023,3,720p,Wi-Fi 5,5.0,Yes,Yes,142990
Microsoft,Surface Laptop 5 13.5,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Arc Graphics,0,8,DDR5,4800,NVMe SSD,512,16.0,1920x1200,60,IPS,No,Windows 11 Pro,94,1.92,2024,2,1080p,Wi-Fi 7,5.4,No,Yes,59990
HP,Victus 16-s0095AX,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce MX550,2,32,DDR5,5600,SSD,2048,16.0,2560x1600,120,IPS,No,Windows 11 Home,88,2.07,2022,1,720p,Wi-Fi 7,5.4,Yes,No,128990
